No.,Database,Abbreviation,URL,Year,Region,Data Content (Key Words),Category,Building Type,Time resolution,Full Detailed Introduction/ Description,Potential Usage,Location to access data (Directory / URL/ API)
11,International Energy Agency,IEA,https://www.iea.org/,1990-2022,World-wide,"Electricity consumption, CO2 emission, electricity generation by source",Macro-economic data,Commercial building and residential buildings,Annual,"The IEA is at the heart of global dialogue on energy, providing authoritative analysis, data, policy recommendations, and real-world solutions to help countries provide secure and sustainable energy for all. IEA provide authoritative analysis, data, policy recommendations and solutions to ensure energy security and help the world transition to clean energy. The IEA collects, assesses, and disseminates energy statistics on supply and demand, compiled into energy balances in addition to several other key energy-related indicators, including energy prices, public RD&D and measures of energy efficiency, with other measures in development. This emphasis on sound data provides a unique platform for modelling work and tracking both short-term shifts and long-term trends in countries’ energy transitions, particularly for clean energy. Source: https://www.iea.org/about/mission",Energy dataset of world,Directory: (‘/Database_11_IEA/’)
12,LandScan,NA,https://landscan.ornl.gov/           https://www.ornl.gov/news/gis-landscan-goes-public,2000-present,U.S.,"Population distribution database, capturing daytime and nighttime activity of the U.S. population at a resolution of roughly 90 meters","Macro-economic data, and GIS data",NA,Annual,"Landscan, widely considered the gold standard of population and mapping data in the United States, captures daytime and nighttime activity of the U.S. population at a resolution of roughly 90 meters or about 300 feet. These data are collected from ORNL. These datasets are intended to aid in emergency preparedness, readiness, response, and recovery missions; risk assessments; site suitability studies; and a full range of other applications that depend on accurate population data. Source: https://www.ornl.gov/news/gis-landscan-goes-public",Predict risk as per the mapping data.,Directory: (‘/Database_11_IEA/’) Files are in XML and TIF format which needs to be accessed through API to run.
13,FERC Form 714,Form 714,https://www.ferc.gov/industries-data/electric/general-information/electric-industry-forms/form-no-714-annual-electric/data,2006 to 2020,U.S. by utility company and by year,Utility company data,Macro-economic data,All buildings,Monthly or Annual,"FERC represents for Federal Energy Regulation Committee. Form No. 714 – is Annual Electric Balancing Authority Area and Planning Area Report. FERC, pursuant to the Energy Policy Act of 2005, finalized on February 2, 2006, landmark new rules on the certification of an Electric Reliability Organization and the procedures for the establishment, approval, and enforcement of mandatory electric reliability standards. The Commission has inaugurated Docket No. RM04-2-000 in the wake of the August 14, 2003, regional blackout, and Congressional consideration of power-grid reliability legislation.   Source: https://www.ferc.gov/industries-data/electric/general-information/electric-industry-forms/form-no-714-annual-electric/data",Region-scale UBEM calibration,Directory: (‘/Database_13_FERC_Form_714/’)
14,American Community Survey,ACS,https://data.census.gov/cedsci/table?d=ACS%201-Year%20Estimates%20Data%20Profiles&tid=ACSDP1Y2019.DP04&hidePreview=false             https://www.census.gov/programs-surveys/acs/about.html,2010 – present (2019 is the latest),U.S.,HOUSING CHARACTERISTICS,Macro-economic data,Residential Building,Annual,"The American Community Survey (ACS) helps local officials, community leaders, and businesses understand the changes taking place in their communities. It is the premier source for detailed population and housing information about our nation. In other words, The American Community Survey (ACS) is an ongoing survey that provides vital information on a yearly basis about our nation and its people. Information from the survey generates data that help inform how trillions of dollars in federal funds are distributed each year. The American Community Survey (ACS) releases new data every year through a variety of data tables that you can access with different data tools.      Source: https://www.census.gov/programs-surveys/acs/about.html",UBEM building characteristics Sampling,Directory: (‘/Database_14_ACS/’)
,AMERICAN TIME OF USE,ATUS,"https://www.census.gov/programs-surveys/atus.html#:~:text=The%20American%20Time%20Use%20Survey,childcare%2C%20volunteering%2C%20and%20socializing.",2012– present,U.S.,People characteristics,Macro-economic data,Residential Building,Annual,"The American Time Use Survey (ATUS) provides nationally representative estimates of how, where, and with whom Americans spend their time, and is the only federal survey providing data on the full range of nonmarket activities, from childcare to volunteering. 
 https://www.census.gov/programs-surveys/atus.html#:","People energy usage as per gender, age, or other characteristics","Directory: (‘/Database_15_ATUS/’)      
"
16,Public Use Microdata Sample (PUMS) - Census Bureau (Part of ACS),PUMS,https://www.census.gov/programs-surveys/acs/microdata.html,2005 - 2019,U.S.,A set of records from individual people or housing units,Representative building data,Residential Building,1 year or 5 years,"The Census Bureau’s American Community Survey (ACS) Public Use Microdata Sample (PUMS) files enable data users to create custom estimates and tables, free of charge, that are not available through ACS pretabulated data products. The ACS PUMS files are a set of records from individual people or housing units, with disclosure protection enabled so that individuals or housing units cannot be identified. The Census Bureau’s American Community Survey (ACS) Public Use Microdata Sample (PUMS) files enable data users to create custom estimates and tables, free of charge, that are not available through ACS pretabulated data products. The ACS PUMS files are a set of records from individual people or housing units, with disclosure protection enabled so that individuals or housing units cannot be identified. The Census Bureau produces ACS 1-year and 5-year PUMS files. These files are accessible using the microdata access tool on data.census.gov and the Census Bureau's FTP site.* Only selected geographic areas are identified in the ACS PUMS, including nation, regions, divisions, states, and Public Use Microdata Areas (PUMAs). Of these, PUMAs are the most detailed geographic areas available. The Form 714 data for 2011-2020 in this database has been superseded by the XBRL Taxonomy found on the e-Forms portal. Source: https://www.census.gov/programs-surveys/acs/microdata.html",Residential Owners Characteristics,Directory: (‘/Database_16_PUMS/’)
17,American Housing Survey (Part of ACS),AHS,https://www.census.gov/programs-surveys/ahs.html,2011-2019 every two years,U.S.,"The physical condition of homes and neighborhoods, the costs of financing and maintaining homes, and the characteristics of people who live in these homes.",Representative building data,Residential Building,2 years,"The American Housing Survey (AHS) is sponsored by the Department of Housing and Urban Development (HUD) and conducted by the U.S. Census Bureau. The survey has been the most comprehensive national housing survey in the United States since its inception in 1973, providing current information on the size, composition, and quality of the nation’s housing and measuring changes in our housing stock as it ages. The AHS is a longitudinal housing unit survey conducted biennially in odd-numbered years, with samples redrawn in 1985 and 2015. Since USA changes rapidly, policymakers in government and private organizations need current housing information to make decisions about programs that will affect people of all income levels, ages, and racial and ethnic groups.  Source: https://www.census.gov/programs-surveys/ahs.html",Dataset of people activities in house,"URL . This is online data base, so we don’t download the data. Data Selection can be done from the website as per the requirement.        https://www.census.gov/programs-surveys/ahs/data/interactive/ahstablecreator.html?s_areas=00000&s_year=2021&s_tablename=TABLE1&s_bygroup1=1&s_bygroup2=1&s_filtergroup1=1&s_filtergroup2=1
                       "
18,National Residential Efficiency Measures Database,NREMD,https://remdb.nrel.gov/                        https://remdb.nrel.gov/about,Released in 2013,U.S.,Technology retrofit savings,A national unified database of residential building retrofit measures and associated costs.,Residential Building,Annual,"The National Residential Efficiency Measures Database is a publicly available, centralized resource of residential building retrofit measures and costs for the U.S. building industry. With support from the U.S. Department of Energy, NREL developed this tool to help users determine the most cost-effective retrofit measures for improving energy efficiency of existing homes. NREL developed this database on behalf of the U.S. Department of Energy. The purpose of this project is to provide a national unified database of residential building retrofit measures and associated costs. These data are accessible to software programs that evaluate most cost-effective retrofit measures to improve the energy efficiency of residential buildings. Source: https://remdb.nrel.gov/about",Retrofit savings,"URL . This website gets access to data dictionaries                                               https://remdb.nrel.gov/ 
"
19,Model America data and models of every U.S. building,NA,https://www.osti.gov/dataexplorer/biblio/dataset/1774134                       https://zenodo.org/records/6908189,Released in 2021,U.S.,Model of every building in the United States.,Building simulation data,Commercial and residential building,Minutes,"The 5-year goal of the “Model America” concept was to generate a model of every building in the United States. This data repository delivers on that goal. Oak Ridge National Laboratory (ORNL) has developed the Automatic Building Energy Modeling (AutoBEM) software suite to process multiple types of data, extract building-specific descriptors, generate building energy models, and simulate them on High Performance Computing (HPC) resources. For more information, see AutoBEM-related publications (bit.ly/AutoBEM). There were 125,714,640 buildings detected in the United States and this dataset contains 122,930,327 (97.8%) buildings which resulted in a successful simulation. Future, annual updates have been proposed that may include additional buildings, data improvements, or other algorithmic enhancements.            Source: https://zenodo.org/records/6908189",Dataset of Building in US.,"URL. Model repositories which cannot be downloaded.      https://app.globus.org/file-manager?origin_id=62185ef6-7e40-44a6-913a-4b70dd111ef6&origin_path=%2FORNLNCCS%2F202104%2F10.13139_ORNLNCCS_1774134%2F&two_pane=false 
"
20,A synthetic building operation dataset,NA,https://www.nature.com/articles/s41597-021-00989-6,Released in 2021,U.S.,"A synthetic building operation dataset which includes HVAC, lighting, miscellaneous electric loads","Representative building data, Building simulation data",Office building,Minutes,"A synthetic building operation dataset which includes HVAC, lighting, miscellaneous electric loads (MELs) system operating conditions, occupant counts, environmental meters, end-use and whole-building energy consumptions at 10-minute intervals. The data is created with 1395 annual simulations using the U.S. DOE detailed medium-sized reference office building, and 30 years’ historical weather data in three typical climates including Miami, San Francisco, and Chicago. Three energy efficiency levels of the building and systems are considered.   Source: https://www.nature.com/articles/s41597-021-00989-6",Building operation datasets,"URL: File size is 1.2 TB, which makes it hard to store in local computer.   https://www.nature.com/articles/s41597-021-00989-6#Sec10
"
21,Residential-Building-Stock-Assessment,RBSA,https://neea.org/data/residential-building-stock-assessment                        https://neea.org/get-involved/rbsa-information-for-participants,2016-2017,U.S.,"Representative sample of single-family, multi-family and manufactured homes gathered across the Northwest region",Represent usage of residence use of building applications,Residential,Annually,"The RBSA is a comprehensive research study of energy use in single-family and multi-family Northwest residential buildings. The RBSA will provide the region with useful information for residences, utilities, and researchers to improve energy efficiency practices and identify opportunities for energy efficiency in the future. This study involves gathering information from on-site assessments at participating homes, apartments, and condos. These onsite assessments will take approximately 3-6 hours depending on the size of the residence. Evergreen Economics and its partner firms will collect information on energy-using equipment and building characteristics that affect energy consumption. They will also request authorization to collect electric and natural gas consumption data for all study participants from their electric and natural gas utilities. Participants will receive a $100 incentive for participation. There are also additional incentives available for residents who qualify for additional HVAC and ductwork testing. Source: https://www.census.gov/programs-surveys/acs/about.html",Residence application usage datasets,Directory: (‘/Database_ 21_RBSA/’)
